temhum_dataSize_separate
Data size is 5000  RMS is 6.482523011618264
Data size is 10000  RMS is 7.820829894747047
Data size is 15000  RMS is 7.949503395585286
Data size is 20000  RMS is 7.658725409188359
Data size is 25000  RMS is 7.4726195450289365
Data size is 30000  RMS is 7.379604666431412
Data size is 35000  RMS is 7.565649017922526
Data size is 40000  RMS is 7.469645905700775
Data size is 45000  RMS is 7.42265138804729
