Data size is 5000  RMS is 1.9382786600264912
Data size is 10000  RMS is 2.571608060906042
Data size is 15000  RMS is 2.617356065608369
Data size is 20000  RMS is 2.5745326505404273
Data size is 25000  RMS is 2.5084470903982705
Data size is 30000  RMS is 2.510784268059848
Data size is 35000  RMS is 2.4606744148908257
Data size is 40000  RMS is 2.4557834961627423
Data size is 45000  RMS is 2.4478446345345093
