Data size is 5000  RMS is 1.3431945986633167
Data size is 10000  RMS is 1.653257477022425
Data size is 15000  RMS is 1.6913940863772026
Data size is 20000  RMS is 1.6485269913923442
Data size is 25000  RMS is 1.5664427740256894
Data size is 30000  RMS is 1.5582374996684196
Data size is 35000  RMS is 1.5106303961427914
Data size is 40000  RMS is 1.5110646289291096
Data size is 45000  RMS is 1.518660081231717
