temhum_errorRate_separate
Dirty rate is 0.05  RMS is 5.357290538234141
Dirty rate is 0.075  RMS is 5.698000781835416
Dirty rate is 0.1  RMS is 6.044659778747455
Dirty rate is 0.125  RMS is 6.401196559215846
Dirty rate is 0.15  RMS is 6.699594079733972
Dirty rate is 0.175  RMS is 7.021501507265372
Dirty rate is 0.2  RMS is 7.325456422241439
Dirty rate is 0.225  RMS is 7.610743689751025
Dirty rate is 0.25  RMS is 7.883965825452522
Dirty rate is 0.275  RMS is 8.166700804997657
