 ,1.0,2.0,4.0,8.0,16.0,32.0
MTCSC-C,3.6,4.3,6.6,9.5,15.0,34.1
MTCSC-G,219.5,331.2,446.8,827.7,1994.9,3396.6
MTCSC-L,0.9,1.0,1.2,1.1,1.8,3.7
