 ,5000,10000,15000,20000,25000,30000,35000,40000,45000,50000
MTCSC,1.121166394,1.618909492,1.682465415,2.449726857,2.418064266,2.40152143,2.437166318,2.615745044,2.858756998,2.954645072
MTCSC-Uni,1.12569126,1.622857956,1.68581191,2.453805505,2.423047792,2.405990208,2.442667386,2.622615691,2.864633772,2.960330554
SCREEN,1.804577454,2.341966573,2.392957559,3.214746033,3.173120057,3.144617884,3.169637995,3.348794362,3.599713483,3.710261855
SpeedAcc,1.764843103,2.293645046,2.348199618,3.160587862,3.121612079,3.093324511,3.121767996,3.300317119,3.550136812,3.658154609
LsGreedy,1.089907002,1.594713493,1.663283952,2.436328253,2.399228135,2.39039956,2.42925942,2.606100998,2.84640862,2.941204447
EWMA,3.548026885,4.506536744,4.686899492,5.864609366,5.86989949,5.915117713,6.078784384,6.402351466,6.731461307,6.835589162
HTD,1.50E-04,2.40E-04,1.08E-04,1.40E-04,1.36E-04,1.73E-04,1.38E-04,9.99E-05,1.29E-04,1.84E-04
