tao_dataSize_together
Data size is 5000  RMS is 14.62764971241512
Data size is 10000  RMS is 17.349586859441498
Data size is 15000  RMS is 21.318063792631015
Data size is 20000  RMS is 24.586121494680064
Data size is 25000  RMS is 26.295921018673955
Data size is 30000  RMS is 27.4449562765226
Data size is 35000  RMS is 26.62509444209325
Data size is 40000  RMS is 25.785638438465337
Data size is 45000  RMS is 25.633003669897384
Data size is 50000  RMS is 25.650606028436915
