tao_dataSize_together
Data size is 5000  RMS is 5.376405447052684
Data size is 10000  RMS is 8.194127167879618
Data size is 15000  RMS is 8.42319874732327
Data size is 20000  RMS is 12.899034876774504
Data size is 25000  RMS is 12.534055462948242
Data size is 30000  RMS is 12.825489681976222
Data size is 35000  RMS is 13.335423115748307
Data size is 40000  RMS is 14.269308719386483
Data size is 45000  RMS is 15.674331941166463
Data size is 50000  RMS is 16.468992836320957
