 ,MTCSC,MTCSC-A,MTCSC-Uni,RCSWS,SCREEN,SpeedAcc,LsGreedy,EWMA,HTD,HoloClean,FCVAE,TranAD
RMS,9.362049583,0.406828403,22.38924352,22.27342259,38.94474207,44.89907592,0.940296869,2.627772154,1.207520114,2.202266608,26.73,26.73
Cost,2.523105382,0.128530358,8.191932456,5.732261107,15.59295824,18.49396652,0.071813533,1.868091884,0.027341236,,,
Number,2031,125,1592,1889,2183,2237,277,8072,83,,,
Time,138,102,196,35,258,32127,9,2,1921,,,
