 ,My2,My2-plus,My2-plus-ds,My1,RCSWS,SCREEN,SpeedAcc,Lsgreedy,Expsmooth,HTD
RMS,175.62783984316147,5.299146532232709,0.11771583340039204,28.3175832259335,3.8641828318773777,115.70027084861852,128.58222909606303,2.2540311031844777,94.06462972221675,1.2190213244997237
Cost,29007.463192310977,970.5385062067938,25.185631514991613,4045.8954523650345,695.7238850129619,20863.17101996644,21296.504089372058,209.7621966353978,19523.30369452197,0.0
Number,143.0,143.0,3.0,124.0,142.0,216.0,217.0,77.0,240.0,0.0
Time,418.0,25.0,11.0,23.0,7.0,16.0,705.0,4.0,0.0,26.0
