temhum_dataSize_together
Data size is 5000  RMS is 6.986011323005934
Data size is 10000  RMS is 8.69985602084053
Data size is 15000  RMS is 8.817927118250209
Data size is 20000  RMS is 8.524561709297817
Data size is 25000  RMS is 8.287586745840102
Data size is 30000  RMS is 8.224011504405965
Data size is 35000  RMS is 8.393006892774917
Data size is 40000  RMS is 8.28990939537585
Data size is 45000  RMS is 8.331698545404464
