 ,1.0,2.0,4.0,8.0,16.0,32.0
MTCSC-C,185.3,207.2,236.2,277.2,265.5,261.7
MTCSC-G,181.1,206.5,235.3,265.8,262.2,256.6
MTCSC-L,181.4,207.0,235.6,269.4,264.8,258.7
