 ,1.0,2.0,4.0,8.0,16.0,32.0
MTCSC-C,9.8,6.3,7.6,11.3,14.8,23.5
MTCSC-G,256.4,322.8,532.2,989.5,1373.7,3470.0
MTCSC-L,1.9,1.2,1.1,1.3,1.9,2.4
