 ,1.0,2.0,4.0,8.0,16.0,32.0
MTCSC-C,36.4,10.1,70.7,200.4,256.8,268.4
MTCSC-G,34.8,10.0,67.1,199.2,252.7,257.7
MTCSC-L,34.8,10.0,67.1,199.4,252.7,259.7
