1,9.01,8.534,9.01,8.534
2,4.78,9.981,9.13,9.981
3,7.12,11.572,9.35,11.572
4,9.35,12.295,9.35,12.295
5,11.13,10.849,9.68,12.585
6,9.57,12.874,9.57,12.874
7,9.79,13.308,9.79,13.308
8,9.35,15.188,9.35,15.188
9,9.13,16.924,9.13,16.924
10,9.01,18.371,9.01,18.371
11,8.9,20.251,8.9,20.251
12,8.9,21.698,8.9,21.698
13,8.9,23.145,8.9,23.145
14,9.01,24.446,9.01,24.446
15,9.24,25.893,9.24,25.893
16,9.57,27.34,9.57,27.34
17,9.68,28.931,9.68,28.931
18,9.68,30.377,9.68,30.377
19,9.68,31.824,9.68,31.824
20,9.68,33.126,9.68,33.126
21,9.46,34.862,9.46,34.862
22,9.01,36.308,9.01,36.308
23,9.01,37.899,9.01,37.899
24,8.9,39.491,8.9,39.491
25,9.01,41.082,9.01,41.082
26,9.24,42.528,9.24,42.528
27,9.35,43.83,9.35,43.83
28,9.46,45.277,9.46,45.277
29,9.68,46.868,9.68,46.868
30,9.91,48.459,9.91,48.459
31,10.02,50.195,10.02,50.195
32,9.91,51.931,9.91,51.931
33,9.68,53.667,9.68,53.667
34,9.57,55.258,9.57,55.258
35,9.57,56.994,9.57,56.994
36,9.46,58.585,9.46,58.585
37,9.46,60.176,9.46,60.176
38,9.35,61.478,9.35,61.478
39,9.01,63.069,9.01,63.069
40,8.9,64.805,8.9,64.805
41,8.79,66.397,8.79,66.397
42,8.9,68.277,8.9,68.277
43,8.79,70.013,8.79,70.013
44,8.79,71.604,8.79,71.604
45,9.01,73.485,9.01,73.485
46,9.01,75.365,9.01,75.365
47,9.01,77.246,9.01,77.246
48,9.01,78.982,9.01,78.982
49,9.01,80.717,9.01,80.717
50,9.01,82.453,9.01,82.453
51,9.01,84.334,9.01,84.334
52,9.01,86.214,9.01,86.214
53,9.01,88.24,9.01,88.24
54,9.01,90.12,9.01,90.12
55,8.57,92.145,8.57,92.145
56,8.9,94.315,8.9,94.315
57,9.24,96.485,9.24,96.485
58,9.46,98.655,9.46,98.655
59,9.57,100.825,9.57,100.825
60,9.68,102.995,9.68,102.995
61,9.68,105.164,9.68,105.164
62,9.68,107.334,9.68,107.334
63,9.57,109.504,9.57,109.504
64,9.57,111.674,9.57,111.674
65,9.57,113.844,9.57,113.844
66,9.57,116.014,9.57,116.014
67,9.46,118.184,9.46,118.184
68,9.46,120.353,9.46,120.353
69,9.46,122.523,9.46,122.523
70,9.35,124.693,9.35,124.693
71,9.24,126.863,9.24,126.863
72,9.24,128.888,9.24,128.888
73,9.46,130.913,9.46,130.913
74,9.46,132.649,9.46,132.649
75,9.46,134.53,9.46,134.53
76,9.35,136.266,9.35,136.266
77,9.13,138.002,9.13,138.002
78,8.9,139.593,8.9,139.593
79,8.68,141.329,8.68,141.329
80,8.68,142.92,8.68,142.92
81,8.68,144.511,8.68,144.511
82,8.68,146.247,8.68,146.247
83,8.68,147.838,8.68,147.838
84,8.68,149.429,8.68,149.429
85,8.68,151.165,8.68,151.165
86,8.57,152.901,8.57,152.901
87,8.68,154.637,8.68,154.637
88,8.68,156.518,8.68,156.518
89,8.57,158.254,8.57,158.254
90,8.79,160.134,8.79,160.134
91,8.79,162.015,8.79,162.015
92,8.9,163.75,8.9,163.75
93,8.79,165.486,8.79,165.486
94,8.57,167.367,8.57,167.367
95,9.01,169.103,9.01,169.103
96,8.79,170.839,8.79,170.839
97,8.68,172.575,8.68,172.575
98,8.79,174.31,8.79,174.31
99,8.79,176.046,8.79,176.046
100,8.9,177.782,8.9,177.782
101,6.23,179.373,8.9,179.373
102,6.12,181.109,8.9,181.109
103,6.12,182.99,8.79,182.99
104,6.01,184.726,8.79,184.726
105,6.01,186.462,8.79,186.462
106,6.01,188.053,9.35,188.053
107,6.12,189.789,9.35,189.789
108,6.23,191.38,9.35,191.38
109,9.13,192.827,9.13,192.827
110,9.13,194.418,9.13,194.418
111,9.01,195.864,9.01,195.864
112,8.79,197.456,8.79,197.456
113,8.9,199.047,8.9,199.047
114,8.9,200.783,8.9,200.783
115,8.9,202.519,8.9,202.519
116,8.9,204.255,8.9,204.255
117,8.9,205.991,8.9,205.991
118,8.79,207.582,8.79,207.582
119,9.35,209.318,9.35,209.318
120,8.79,210.764,8.79,210.764
121,8.79,212.355,8.79,212.355
122,9.13,213.947,9.13,213.947
123,8.79,215.827,8.79,215.827
124,8.79,217.419,8.79,217.419
125,9.35,218.865,9.35,218.865
126,8.79,219.588,8.79,219.588
127,9.01,219.588,9.01,219.588
128,9.13,219.444,9.13,219.444
129,11.02,219.299,11.02,219.299
130,12.91,219.299,12.91,219.299
131,14.8,219.154,14.8,219.154
132,16.7,219.01,16.7,219.01
133,18.37,218.865,18.37,218.865
134,20.15,218.576,20.15,218.576
135,22.04,218.576,22.04,218.576
136,23.82,218.576,23.82,218.576
137,25.71,218.576,25.71,218.576
138,27.49,218.576,27.49,218.576
139,29.16,218.576,29.16,218.576
140,30.94,218.431,30.94,218.431
141,32.61,218.576,32.61,218.576
142,34.51,218.72,34.51,218.72
143,36.51,218.865,36.51,218.865
144,38.4,218.865,38.4,218.865
145,40.3,219.01,40.3,219.01
146,42.3,219.444,42.3,219.444
147,44.3,219.588,44.3,219.588
148,46.2,219.733,46.2,219.733
149,48.2,219.878,48.2,219.878
150,49.98,219.878,49.98,219.878
151,51.65,219.878,51.65,219.878
152,53.32,219.878,53.32,219.878
153,55.21,219.733,55.21,219.733
154,57.22,219.444,57.22,219.444
