108,12947712.35,4832571.058,12947715.47,4832571.058
109,12947715.25,4832572.505,12947715.25,4832572.505
110,12947715.25,4832574.096,12947715.25,4832574.096
111,12947715.13,4832575.542,12947715.13,4832575.542
112,12947714.91,4832577.134,12947714.91,4832577.134
113,12947715.02,4832578.725,12947715.02,4832578.725
114,12947715.02,4832580.461,12947715.02,4832580.461
115,12947715.02,4832582.197,12947715.02,4832582.197
116,12947715.02,4832583.933,12947715.02,4832583.933
117,12947715.02,4832585.669,12947715.02,4832585.669
118,12947714.91,4832587.26,12947714.91,4832587.26
119,12947715.47,4832588.996,12947715.47,4832588.996
120,12947714.91,4832590.442,12947714.91,4832590.442
121,12947714.91,4832592.033,12947714.91,4832592.033
122,12947715.25,4832593.625,12947715.25,4832593.625
123,12947714.91,4832595.505,12947714.91,4832595.505
124,12947714.91,4832597.097,12947714.91,4832597.097
125,12947715.47,4832598.543,12947715.47,4832598.543
126,12947714.91,4832599.266,12947714.91,4832599.266
127,12947715.13,4832599.266,12947715.13,4832599.266
128,12947715.25,4832599.122,12947715.25,4832599.122
129,12947717.14,4832598.977,12947717.14,4832598.977
130,12947719.03,4832598.977,12947719.03,4832598.977
131,12947720.92,4832598.832,12947720.92,4832598.832
132,12947722.82,4832598.688,12947722.82,4832598.688
133,12947724.49,4832598.543,12947724.49,4832598.543
134,12947726.27,4832598.254,12947726.27,4832598.254
135,12947728.16,4832598.254,12947728.16,4832598.254
136,12947729.94,4832598.254,12947729.94,4832598.254
137,12947731.83,4832598.254,12947731.83,4832598.254
138,12947733.61,4832598.254,12947733.61,4832598.254
139,12947735.28,4832598.254,12947735.28,4832598.254
140,12947737.06,4832598.109,12947737.06,4832598.109
141,12947738.73,4832598.254,12947738.73,4832598.254
142,12947740.63,4832598.398,12947740.63,4832598.398
143,12947742.63,4832598.543,12947742.63,4832598.543
144,12947744.52,4832598.543,12947744.52,4832598.543
145,12947746.42,4832598.688,12947746.42,4832598.688
146,12947748.42,4832599.122,12947748.42,4832599.122
147,12947750.42,4832599.266,12947750.42,4832599.266
148,12947752.32,4832599.411,12947752.32,4832599.411
