tao_dataSize_separate
Data size is 5000  RMS is 10.96393725260479
Data size is 10000  RMS is 14.358350615208394
Data size is 15000  RMS is 18.77107393459523
Data size is 20000  RMS is 21.85976198613337
Data size is 25000  RMS is 24.063699272147595
Data size is 30000  RMS is 25.52149800478559
Data size is 35000  RMS is 24.49084607893878
Data size is 40000  RMS is 23.386929559589717
Data size is 45000  RMS is 22.690951947878553
Data size is 50000  RMS is 22.169890851858845
