tao_dataSize_separate
Data size is 5000  RMS is 3.251112681614566
Data size is 10000  RMS is 4.97432556182633
Data size is 15000  RMS is 5.327703222416872
Data size is 20000  RMS is 7.844079191470638
Data size is 25000  RMS is 7.633945441607412
Data size is 30000  RMS is 8.374063832704003
Data size is 35000  RMS is 9.124496651094578
Data size is 40000  RMS is 9.705399828760894
Data size is 45000  RMS is 10.724812528443467
Data size is 50000  RMS is 11.189528801989455
