 ,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.275
MTCSC,12.7,3.5,3.2,3.4,4.5,3.7,3.6,4.6,4.3,3.7
SCREEN,7.3,4.3,3.6,3.0,4.5,3.7,3.8,3.5,3.8,3.7
SpeedAcc,57.7,36.3,35.9,31.9,42.2,35.1,33.4,42.5,32.8,34.1
LsGreedy,8.2,3.2,4.5,5.1,7.7,9.2,7.7,3.7,2.1,1.3
EWMA,0.8,0.0,0.1,0.2,0.2,0.0,0.1,0.0,0.0,0.3
HTD,134.5,94.4,98.3,93.9,124.1,102.2,108.2,120.7,125.0,150.3
