Dirty rate is 0.05  RMS is 1.5031676660836157
Dirty rate is 0.075  RMS is 1.7495786825548998
Dirty rate is 0.1  RMS is 1.9657857918314676
Dirty rate is 0.125  RMS is 2.1589234944295876
Dirty rate is 0.15  RMS is 2.336563305029835
Dirty rate is 0.175  RMS is 2.4976039477641523
Dirty rate is 0.2  RMS is 2.6503189228369655
Dirty rate is 0.225  RMS is 2.7949106138397477
Dirty rate is 0.25  RMS is 2.9319095146791794
Dirty rate is 0.275  RMS is 3.064037215234399
