 ,5000.0,10000.0,15000.0,20000.0,25000.0,30000.0,35000.0,40000.0,45000.0,50000.0,55000.0,60000.0,65000.0,70000.0,75000.0,80000.0,85000.0,90000.0,95000.0
MTCSC,111.0,152.0,180.0,244.0,302.0,257.0,282.0,342.0,540.0,443.0,642.0,697.0,704.0,826.0,884.0,746.0,995.0,974.0,917.0
MTCSC-Uni,256.0,147.0,241.0,298.0,366.0,494.0,568.0,656.0,715.0,853.0,782.0,966.0,989.0,1008.0,1145.0,1258.0,1448.0,1409.0,1490.0
SCREEN,1205.0,2260.0,3100.0,4418.0,5393.0,6470.0,7452.0,8686.0,9484.0,10967.0,12189.0,12451.0,13517.0,14569.0,16910.0,18577.0,19079.0,18828.0,19878.0
SpeedAcc,1681.0,2983.0,4239.0,6002.0,7272.0,8799.0,10145.0,11789.0,12903.0,14199.0,15737.0,16912.0,18270.0,20087.0,22659.0,23654.0,25359.0,26829.0,28669.0
LsGreedy,43.0,78.0,148.0,246.0,342.0,534.0,712.0,938.0,1138.0,1451.0,1950.0,2064.0,2317.0,2713.0,3164.0,3524.0,3981.0,4684.0,5197.0
EWMA,7.0,4.0,3.0,4.0,8.0,7.0,9.0,8.0,13.0,16.0,20.0,14.0,20.0,18.0,24.0,22.0,27.0,34.0,28.0
HTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
