 ,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.275
MTCSC,0.491695587,0.748582003,0.994828319,1.237919273,1.483431098,1.721493554,1.951082606,2.201311259,2.441575976,2.687669566
MTCSC-Uni,0.499803008,0.759809927,1.005255344,1.252518311,1.500814749,1.743617538,1.975385138,2.223983392,2.465841594,2.707724312
SCREEN,0.790912377,1.17813944,1.5313833,1.877800764,2.20868882,2.523858194,2.817317279,3.120057228,3.408588576,3.685076668
SpeedAcc,0.782674051,1.166478253,1.51661891,1.85887798,2.18694965,2.497299648,2.785402206,3.081869545,3.365656444,3.637798164
LsGreedy,0.484131438,0.730271991,0.96167414,1.192418367,1.418755526,1.642534888,1.855372564,2.084305789,2.30610012,2.523924449
EWMA,2.859841806,3.100178513,3.327877649,3.549880555,3.779310037,4.008059562,4.221573502,4.461814219,4.692629527,4.917735218
HTD,6.18E-06,3.46E-05,1.57E-04,4.96E-05,4.73E-05,2.11E-04,3.13E-04,4.26E-04,4.88E-04,6.70E-04
