 ,0.06,0.09,0.12,0.15,0.18,0.21,0.24,0.27,0.3,0.33
MyN,53,80,104,130,154,177,201,224,246,269
My1,408,682,962,1242,1507,1739,1957,2137,2291,2440
SCREEN,366,541,712,881,1046,1209,1365,1507,1649,1788
LocalSpeedAcc,366,541,712,881,1046,1209,1365,1507,1649,1787
Lsgreedy,270,387,493,574,640,667,670,636,579,504
Expsmooth,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999
