 ,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25,0.275
MTCSC,249.1,373.8,499.5,624.6,750.8,876.7,1002.9,1129.3,1257,1386.3
MTCSC-Uni,267.1,402,539.9,676.6,812,951,1094.5,1243.2,1388.5,1527.4
SCREEN,1921.2,2596.1,3147.1,3572,3885.7,4137.2,4341.2,4509.4,4627.2,4730.7
SpeedAcc,1877.5,2552.5,3113.3,3543.7,3871,4129.5,4338.8,4507.3,4629.9,4736.5
LsGreedy,440.4,551.9,703.4,835.8,994.6,1140.4,1264.3,1303.1,1276.6,1175.5
EWMA,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999
HTD,4.8,9.4,21.8,29.1,57.3,87.4,132.3,179.4,243.2,300.3
